titolo,nome_autore,numero_pagine,prezzo,casa_editrice
il mistero della luna,ronald cox,153,17.61,Feltrinelli
i segreti del tempo,matthew randolph,104,25.8,Laterza
la voce del vento,david hicks,437,28.03,Adelphi
la voce del vento,james oneal,447,15.32,Feltrinelli
la luna d'inverno,cory martinez,253,23.9,Feltrinelli
la strada per il cielo,trevor escobar,112,21.69,Feltrinelli
il cuore della tempesta,julie chandler,417,24.29,Einaudi
i sentieri dell'anima,mark anderson,417,23.93,Einaudi
tra le pieghe del destino,virginia grant,483,28.24,Rizzoli
il mistero della luna,cory martinez,127,15.55,Einaudi
le lacrime del cielo,mark anderson,455,18.46,Rizzoli
le lacrime del cielo,lindsay deleon,169,29.7,Laterza
l'ultima speranza,mr. peter ward dvm,349,18.36,Adelphi
il viaggio della fenice,andrew parsons,142,16.32,Mondadori
il canto del vento,richard miller,377,23.39,Laterza
oltre l'orizzonte,mario verdi,138,10.05,Rizzoli
l'ultima speranza,lindsay deleon,163,16.16,Mondadori
tra le pieghe del destino,yvonne stevens,433,20.44,Laterza
il canto del vento,julie chandler,110,20.05,Einaudi
l'ultima speranza,candice garcia,488,21.4,Einaudi
la città nascosta,andrew parsons,445,19.41,Einaudi
nel cuore della foresta,pablito pal,344,13.04,Einaudi
il viaggio nel silenzio,anthony curry,118,17.21,Adelphi
il canto del vento,samuel fox,184,28.19,Feltrinelli
il custode del tempo,kenneth perez,382,21.66,Einaudi
il custode del tempo,david hicks,102,12.71,Einaudi
l'ombra del futuro,eric reed,351,18.21,Feltrinelli
la terra degli eroi,ronald cox,218,18.33,Rizzoli
la luna d'inverno,virginia grant,351,12.65,Mondadori
la verità nascosta,melanie miller,330,15.07,Rizzoli
l'ultimo cavaliere,david hicks,355,13.81,Laterza
il canto del vento,pablito pal,252,15.38,Einaudi
oltre l'orizzonte,pablito pal,296,15.29,Adelphi
la voce del vento,krista figueroa,498,28.52,Mondadori
il risveglio delle tenebre,kenneth perez,358,21.05,Mondadori
la notte degli spiriti,ronald cox,361,24.15,Laterza
il mistero della luna,krista figueroa,449,25.26,Rizzoli
la notte degli spiriti,yvonne stevens,266,13.15,Rizzoli
nel cuore della foresta,david hicks,253,28.78,Laterza
sotto il sole di mezzanotte,mario verdi,279,17.93,Laterza
tra le pieghe del destino,evan jackson,310,13.65,Einaudi
il viaggio della fenice,bryan ward,287,28.33,Feltrinelli
il canto del fiume,krista figueroa,243,16.49,Feltrinelli
sotto il sole di mezzanotte,mario verdi,466,22.31,Mondadori
la luna d'inverno,virginia grant,259,11.56,Feltrinelli
il sogno infranto,pablito pal,340,11.58,Laterza
sotto il sole di mezzanotte,diane simpson,352,22.72,Feltrinelli
la luna d'inverno,david williams,112,15.37,Einaudi
i sentieri dell'anima,yvonne stevens,126,26.04,Mondadori
il mistero della luna,cory martinez,294,15.25,Mondadori
il destino di un re,ronald cox,136,13.77,Rizzoli
il viaggio nel silenzio,lindsay deleon,268,10.63,Einaudi
l'ombra del futuro,yvonne stevens,122,29.58,Einaudi
l'ultimo respiro,marisa white,458,20.65,Rizzoli
la terra degli eroi,mr. peter ward dvm,484,18.72,Feltrinelli
il canto del vento,melanie miller,304,18.42,Rizzoli
il sogno infranto,virginia grant,372,18.42,Einaudi
il cuore della tempesta,melanie miller,199,23.06,Laterza
il viaggio della fenice,mr. john harper,450,19.11,Einaudi
il risveglio delle tenebre,david hicks,197,24.59,Feltrinelli
la luna d'inverno,lucia mazzoni,420,22.7,Laterza
il canto del vento,anthony curry,210,19.49,Feltrinelli
l'eco dei ricordi,lucia mazzoni,255,20.24,Adelphi
il canto del fiume,matthew randolph,292,15.16,Adelphi
la città nascosta,pablito pal,147,13.37,Mondadori
il sogno infranto,julie chandler,348,21.13,Mondadori
la terra degli eroi,cory martinez,469,29.39,Mondadori
la luna d'inverno,mario verdi,415,20.82,Feltrinelli
l'ultimo respiro,andrew parsons,284,22.08,Einaudi
tra le pieghe del destino,candice garcia,488,22.1,Mondadori
l'eco dei ricordi,melanie miller,334,18.92,Adelphi
il labirinto del passato,eric reed,100,10.79,Mondadori
l'ultima speranza,marisa white,193,28.67,Mondadori
tra le pieghe del destino,anthony curry,478,25.24,Einaudi
il risveglio delle tenebre,trevor escobar,420,16.97,Einaudi
tra le pieghe del destino,andrew parsons,363,22.47,Rizzoli
il risveglio delle tenebre,julie chandler,126,23.9,Mondadori
la verità nascosta,evan jackson,108,21.97,Adelphi
il viaggio della fenice,ronald cox,344,27.82,Einaudi
oltre l'orizzonte,virginia grant,338,27.3,Rizzoli
sotto il sole di mezzanotte,evan jackson,128,16.97,Feltrinelli
tra le pieghe del destino,arthur meadows,361,10.52,Einaudi
il custode del tempo,virginia grant,214,21.06,Feltrinelli
il custode del tempo,lucia mazzoni,379,13.81,Laterza
le ombre del passato,marisa white,160,18.78,Adelphi
il canto del vento,ronald cox,305,23.43,Mondadori
il giardino dei sogni,cory martinez,317,25.92,Laterza
il segreto della montagna,mr. john harper,416,21.52,Feltrinelli
l'ombra del futuro,bryan ward,160,27.48,Feltrinelli
il viaggio nel silenzio,samuel fox,489,26.07,Mondadori
il risveglio delle tenebre,richard miller,107,29.23,Feltrinelli
nel cuore della foresta,david hicks,453,12.03,Mondadori
l'ultima speranza,diane simpson,499,11.93,Adelphi
l'eco dei ricordi,benjamin pena,389,17.09,Feltrinelli
il viaggio della fenice,arthur meadows,407,29.92,Laterza
la terra degli eroi,pablito pal,389,25.79,Rizzoli
la verità nascosta,richard miller,216,15.91,Laterza
l'eco dei ricordi,matthew randolph,459,10.91,Mondadori
il canto del fiume,ronald oliver,216,17.94,Mondadori
la città nascosta,marisa white,445,11.34,Feltrinelli
le ombre del passato,james oneal,125,15.18,Feltrinelli
il destino di un re,lucia mazzoni,451,14.59,Feltrinelli
l'ombra del futuro,lindsay deleon,407,15.41,Laterza
il ponte dei ricordi,arthur meadows,443,14.63,Rizzoli
il canto del fiume,kenneth perez,466,28.3,Adelphi
la luce tra le ombre,anthony curry,428,12.16,Mondadori
l'eco dei ricordi,lindsay deleon,445,28.66,Mondadori
il canto del vento,mr. peter ward dvm,168,17.76,Laterza
oltre l'orizzonte,diane simpson,211,10.65,Rizzoli
le ombre del passato,samuel fox,425,20.11,Laterza
la città nascosta,virginia grant,199,22.36,Rizzoli
sotto il sole di mezzanotte,yvonne stevens,109,22.45,Einaudi
la torre del silenzio,luca neri,391,16.13,Rizzoli
oltre l'orizzonte,evan jackson,325,19.62,Einaudi
il canto del vento,anthony curry,270,16.66,Feltrinelli
le ombre del passato,lucia mazzoni,121,28.9,Mondadori
la verità nascosta,andrew parsons,126,15.1,Laterza
il richiamo delle stelle,candice garcia,241,11.88,Rizzoli
la strada per il cielo,anthony curry,260,19.76,Feltrinelli
oltre il confine,ronald cox,166,16.86,Rizzoli
le ombre del passato,mr. john harper,139,15.86,Rizzoli
la danza delle stelle,richard miller,490,11.92,Mondadori
nel cuore della foresta,cory martinez,275,23.21,Feltrinelli
il cuore della tempesta,matthew randolph,223,16.42,Rizzoli
il ponte dei ricordi,benjamin pena,362,29.44,Rizzoli
la notte degli spiriti,mario verdi,154,19.4,Mondadori
il destino di un re,david williams,121,29.19,Einaudi
la verità nascosta,matthew randolph,485,20.85,Einaudi
la voce del vento,ronald oliver,242,16.03,Laterza
tra le pieghe del destino,mark anderson,146,25.59,Laterza
il custode del tempo,samuel fox,444,27.92,Feltrinelli
l'ultima speranza,james oneal,338,10.44,Adelphi
la luna d'inverno,virginia grant,457,22.39,Laterza
sotto il sole di mezzanotte,andrew parsons,270,12.7,Mondadori
il destino di un re,candice garcia,159,14.14,Einaudi
